pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         174891671 function calls (149845281 primitive calls) in 105.011 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      160    0.000    0.000    0.002    0.000 version.py:21(parse)
   124/62    0.000    0.000    0.002    0.000 pyparsing.py:3693(<listcomp>)
        1    0.000    0.000    0.002    0.002 linecache.py:6(<module>)
3457/3447    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
      334    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       70    0.000    0.000    0.002    0.000 __init__.py:1325(safe_version)
       40    0.000    0.000    0.002    0.000 {built-in method builtins.next}
       59    0.000    0.000    0.002    0.000 pyparsing.py:3624(<listcomp>)
      360    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
       29    0.000    0.000    0.002    0.000 pyparsing.py:1184(_trim_arity)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1405(setParseAction)
        1    0.000    0.000    0.002    0.002 plistlib.py:47(<module>)
        1    0.000    0.000    0.002    0.002 ElementTree.py:34(<module>)
        1    0.000    0.000    0.002    0.002 hashlib.py:54(<module>)
     1800    0.001    0.000    0.002    0.000 ball.py:12(__init__)
       28    0.000    0.000    0.002    0.000 pyparsing.py:1192(extract_stack)
        9    0.001    0.000    0.002    0.000 enum.py:135(__new__)
       46    0.000    0.000    0.002    0.000 __init__.py:2556(__init__)
      259    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
       30    0.000    0.000    0.002    0.000 abc.py:125(__new__)
      171    0.000    0.000    0.002    0.000 sre_parse.py:96(closegroup)
       28    0.000    0.000    0.002    0.000 traceback.py:200(extract_stack)
    111/5    0.000    0.000    0.002    0.000 pyparsing.py:3651(streamline)
     52/4    0.000    0.000    0.002    0.000 pyparsing.py:3727(streamline)
      630    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
       96    0.002    0.000    0.002    0.000 {built-in method _imp.source_hash}
